tag,pair,co-frequency,tag-rate(co-frequency/tag),pair-rate(co-frequency/pair)
puppet,rentabiliweb,9,0.009605123,1.0
packaging,koji,8,0.008537887,1.0
development,koji,8,0.008537887,1.0
development,ansidev,13,0.013874066,1.0
database,mongod,6,0.006403415,1.0
cloud,jailed,12,0.01280683,1.0
cloud,eucalyptus,12,0.01280683,1.0
osx,apple,9,0.009605123,1.0
development,iojs,6,0.006403415,1.0
example42,netmanagers,7,0.007470651,1.0
application,netmanagers,7,0.007470651,1.0
apt,cacher,10,0.010672359,1.0
hosts,known,6,0.006403415,1.0
system,sources,6,0.006403415,1.0
system,superlumic,6,0.006403415,1.0
system,ansidev,13,0.013874066,1.0
development,1,6,0.006403415,1.0
system,koji,8,0.008537887,1.0
dns,bind9,7,0.007470651,1.0
web,ansidev,13,0.013874066,1.0
jails,jailed,12,0.01280683,1.0
jails,iocage,13,0.013874066,1.0
my,oh,12,0.01280683,1.0
system,cw,8,0.008537887,1.0
zsh,oh,12,0.01280683,1.0
directory,active,6,0.006403415,1.0
ec2,jailed,12,0.01280683,1.0
ec2,eucalyptus,12,0.01280683,1.0
middleware,osb,6,0.006403415,1.0
web,symfony2,8,0.008537887,1.0
nosql,mongod,6,0.006403415,1.0
logstash,forwarder,6,0.006403415,1.0
xmpp,jabber,6,0.006403415,1.0
php,xhprof,6,0.006403415,1.0
php,pecl,18,0.019210245,1.0
oracle,weblogic,8,0.008537887,1.0
oracle,osb,6,0.006403415,1.0
database,sql,170,0.1814301,0.9714286
osx,darwin,24,0.02561366,0.96
monitoring,dynatrace,19,0.020277482,0.95
database,nosql,201,0.2145144,0.9392523
eos,arista,15,0.016008537,0.9375
augeas,augeasproviders,14,0.014941302,0.93333334
providers,augeasproviders,14,0.014941302,0.93333334
utilities,augeasproviders,14,0.014941302,0.93333334
types,augeasproviders,14,0.014941302,0.93333334
cloud,iocage,12,0.01280683,0.9230769
ec2,iocage,12,0.01280683,0.9230769
development,gocd,11,0.011739595,0.9166667
iocage,jailed,11,0.011739595,0.9166667
ng,cacher,9,0.009605123,0.9
php,pear,9,0.009605123,0.9
system,graphical,8,0.008537887,0.8888889
workstation,graphical,8,0.008537887,0.8888889
ruby,gems,8,0.008537887,0.8888889
augeas,providers,15,0.016008537,0.88235295
utilities,providers,15,0.016008537,0.88235295
rhel,scientific,29,0.03094984,0.8787879
security,encryption,7,0.007470651,0.875
system,openwrt,7,0.007470651,0.875
agent,td,7,0.007470651,0.875
carbon,whisper,7,0.007470651,0.875
homebrew,cask,7,0.007470651,0.875
rhel,oel,7,0.007470651,0.875
docker,compose,14,0.014941302,0.875
graphite,whisper,7,0.007470651,0.875
development,alpine,13,0.013874066,0.8666667
cli,netmanagers,6,0.006403415,0.85714287
cloud,rax,18,0.019210245,0.85714287
redis,sentinel,6,0.006403415,0.85714287
system,swapfile,6,0.006403415,0.85714287
vim,vi,6,0.006403415,0.85714287
web,php7,12,0.01280683,0.85714287
zsh,my,12,0.01280683,0.85714287
mcollective,stomp,6,0.006403415,0.85714287
activemq,stomp,6,0.006403415,0.85714287
system,coreos,10,0.010672359,0.8333333
types,providers,14,0.014941302,0.8235294
cloud,jails,13,0.013874066,0.8125
networking,arista,13,0.013874066,0.8125
ec2,jails,13,0.013874066,0.8125
osx,alpine,12,0.01280683,0.8
ntp,ntpd,8,0.008537887,0.8
openstack,nova,12,0.01280683,0.8
packaging,deb,11,0.011739595,0.78571427
packaging,azulinho,18,0.019210245,0.7826087
check,mk,7,0.007470651,0.7777778
development,runner,7,0.007470651,0.7777778
system,es,7,0.007470651,0.7777778
jboss,eap,7,0.007470651,0.7777778
system,stack,10,0.010672359,0.7692308
git,vcs,10,0.010672359,0.7692308
ssh,authorized,13,0.013874066,0.7647059
web,openapphack,13,0.013874066,0.7647059
php,xdebug,13,0.013874066,0.7647059
ssl,tls,16,0.017075773,0.7619048
system,hostname,31,0.03308431,0.75609756
chrome,browser,6,0.006403415,0.75
cloud,gce,9,0.009605123,0.75
osx,cask,6,0.006403415,0.75
system,oh,9,0.009605123,0.75
proxy,oauth2,6,0.006403415,0.75
unattended,upgrades,6,0.006403415,0.75
system,htpc,9,0.009605123,0.75
irc,ircd,6,0.006403415,0.75
zabbix,zabbix3,6,0.006403415,0.75
middleware,weblogic,6,0.006403415,0.75
web,magento,9,0.009605123,0.75
cloud,ec2,80,0.08537887,0.74766356
utilities,types,14,0.014941302,0.7368421
development,eclipse,14,0.014941302,0.7368421
augeas,types,14,0.014941302,0.7368421
development,beetbox,24,0.02561366,0.72727275
vmware,vcenter,8,0.008537887,0.72727275
java,jre,8,0.008537887,0.72727275
mail,mta,8,0.008537887,0.72727275
tsuru,paas,8,0.008537887,0.72727275
development,mesosphere,13,0.013874066,0.7222222
java,jdk,26,0.027748132,0.7222222
php,fpm,33,0.035218783,0.7173913
system,my,10,0.010672359,0.71428573
system,deb,10,0.010672359,0.71428573
system,ufw,12,0.01280683,0.7058824
web,xdebug,12,0.01280683,0.7058824
monitoring,collectd,21,0.022411954,0.7
apache,httpd,14,0.014941302,0.7
web,stack,9,0.009605123,0.6923077
database,db,11,0.011739595,0.6875
system,jvm,11,0.011739595,0.6875
java,jvm,11,0.011739595,0.6875
ntp,time,17,0.01814301,0.68
security,pki,6,0.006403415,0.6666667
monitoring,es,6,0.006403415,0.6666667
development,magento,8,0.008537887,0.6666667
system,workstation,10,0.010672359,0.6666667
system,vhosts,6,0.006403415,0.6666667
user,account,12,0.01280683,0.6666667
network,interface,6,0.006403415,0.6666667
web,beetbox,22,0.02347919,0.6666667
rails,puma,6,0.006403415,0.6666667
web,pecl,12,0.01280683,0.6666667
openstack,neutron,12,0.01280683,0.6666667
clustering,eucalyptus,8,0.008537887,0.6666667
monitoring,munin,11,0.011739595,0.64705884
puppet,puppetmaster,11,0.011739595,0.64705884
system,reboot,11,0.011739595,0.64705884
python,virtualenv,9,0.009605123,0.64285713
jdk,jre,7,0.007470651,0.6363636
system,locale,14,0.014941302,0.6363636
postfix,mta,7,0.007470651,0.6363636
installer,beetbox,21,0.022411954,0.6363636
docker,registry,12,0.01280683,0.6315789
ssh,keys,20,0.021344718,0.625
system,users,46,0.049092848,0.6216216
system,base,26,0.027748132,0.61904764
monitoring,ganglia,8,0.008537887,0.61538464
cloud,stack,8,0.008537887,0.61538464
monitoring,telegraf,8,0.008537887,0.61538464
system,java8,8,0.008537887,0.61538464
monitoring,stack,8,0.008537887,0.61538464
system,logrotate,24,0.02561366,0.61538464
postfix,smtp,8,0.008537887,0.61538464
development,packer,19,0.020277482,0.61290324
monitoring,nagios,39,0.0416222,0.609375
