redis,ansible role for configuring redid,web
cowsay,install ansible-most-important-prerequirement software. this can be used from ansible-galaxy.,development
supervise,install and run supervised services using supervisord,web monitoring
user management,ansible role to manage user accounts on hosts,development
vagrant,vagrant role for adding vagrant user credentials,development
apache2-vhosts,,web
hosts,/etc/hosts management role,system
shorewall6_simple,an ansible role to setup and configure a shorewall6 in a simple environment under debian/centos based distro's,system networking
postgresql,postgreql,database development sql
docker,an ansible role for the docker daemon,development system packaging
sshd,sshd ansible role,system
fail2ban,fail2ban ansible role,system
ruby-common,ansible role that compiles and installs ruby ( www.ruby-lang.org) and bundler ( bundler.io).,development
ruby-2_0_0,ansible role that compiles and installs ruby 2.0.0 ( www.ruby-lang.org) and bundler ( bundler.io).,development
shadowsocks,ansible role that installs the shadowsocks secure socks 5 proxy ( shadowsocks.org),networking
rails-deployment,deploys rails application like capistrano or mina do,web
ssmtp,ansible role for installing and configuring ssmtp to deliver local email to a mail hub,
boost-install,install boost c++ libraries from source.,development
repo-google,yum repositories for goole chrome, talkplugin, musicmanager, earth,packaging
repo-extra,yum repositories for rpmfusion-free, rpmfusion-nonfree, livna,packaging
docker,an ansible role for the docker daemon,development system packaging
drupal,ansible role for installing a new drupal site,development
packages-gstreamer-plugins,multi-media plugins enabling additional audio/video formats for standard programs,packaging
network-qdiscipline,enable the fq_codel qdiscipline for low-latency networking,networking
packages-adobe-flash,install the flash-plugin, it's repo for updates, and fix full-screen bug,packaging
xorg-trackpoint-scroll,enable scrolling with midde button and trackpoint,system
memcached,ansible role memcached,web
desktop-powersave,enable power saving features on laptops,system
ruby-builder,ansible role that compiles and installs ruby ( www.ruby-lang.org) for debian and rhel based distributions,development
dkimproxy,dkimproxy is an smtp-proxy that signs and/or verifies emails.,networking
erlang,a role that install erlang with kerl,development
hostname,set hostname to ansible's inventory hostname,cloud system networking
golang,install golang,system
redis,setup redis database,database nosql
foreman,install foreman ( ddollar.github.io/foreman/),system
smartd,configure smartd for each disks with scheduled auto-chek,system monitoring
zabbix-common,zabbix common role,monitoring
sensu-client,a role that installs the sensu-client on your machine,monitoring
kibana,kibana playbook for ansible,monitoring
ubuntu-base,updates, upgrades and intsall commonly needed tools for ubuntu server.,cloud system ec2
sudoers,simple /etc/sudoers.d management role,system
nodejs-app,provision node.js app,system web
git,install git, add github and bitbucket to /etc/ssh/ssh_known_hosts,system
mongo_mongos,this role installs and configures the mongo query router,database nosql
mongo_mongod,this role installs and configures mongod daemon,database nosql
postgresql_server,install postgresql using ansible,database nosql sql
virtualenv,ansible role used to install virtualenv,web packaging
mail_sandbox,role for setup mail sandbox application,web
collectd,install collectd client,monitoring
nodejs-raspbian,install node.js on raspbian (raspberry pi specific arm distro),system web
postgresql,a role for installing and configuring postgresql,database sql
nginx,a role to install and configure nginx,web
varnish,a role to install and configure varnish,web
luket_postgresql,postgresql install and config,database sql
php-pear,install pear and pear packages.,packaging
zendserver,a role to install zend server,web
opendj,install opendj ldap server,database development system nosql
opendj-replication,setup replication between two opendj ldap server instances,database development system nosql
monkeysphere,monkeysphere plus configuration for your server,system
system-limits,setup ulimits and sysctl,system networking
duo,two factor authentication with duo,system
enable-sudo,enables sudo for certain user via sudo group,system
