hibernate,an object relational-mapping (orm) library for java,database
keepass,a lightweight and easy-to-use password manager,database
xampp,an easy to install apache distribution containing mysql  php  and perl,database
firebird,a powerful  cross platform  sql database system,database
appserv,the easy way to configure apache  php  and mysql!,database
squirrel sql client,a java sql client for any jdbc compliant database,database
jtds - sql server and sybase jdbc driver,open source jdbc 3.0 type 4 driver for microsoft sql server (6.5 up to 2012) and sybase ase. jtds is a complete implementation of the jdbc 3.0 spec and the fastest jdbc driver for ms sql server. for more information see http://jtds.sourceforge.net/,database
mywebsql,mywebsql is a web based wysiwyg database client written in php. it has a simple and intuitive interface with the look and feel of a desktop application  and offers rich features for database management. no installation is needed  just download  extract and you are ready to go. it even has a single file compact version with full functionality  which you can quickly deploy on your server. currently mywebsql supports working with mysql  postgresql and sqlite databases.,database
ldap admin,windows ldap editor  includes support for posix groups and accounts  samba accounts  some postfix objects and more,database
uniform server,a lightweight mobile wamp server solution.,database
vertrigoserv wamp,complete wamp server - php apache mysql for windows.,database
hypersql database engine (hsqldb),hsqldb is a relational database engine written in java  with a jdbc driver  conforming to ansi sql:2011. a small  fast  multithreaded engine and server with memory and disk tables  lobs  transaction isolation  multiversion concurrency and acid.,database
itop - itsm & cmdb opensource,a simple  web based it service management tool,database
mondrian,mondrian is an olap (online analytical processing) engine written in java. it reads from jdbc data sources  aggregates data in a memory cache  and implements the mdx language and the olap4j and xml/a apis.,database
phppgadmin,phppgadmin is a fully functional web-based administration utility for a postgresql database server. it handles all the basic functionality as well as some advanced features such as triggers  views  and functions (stored procs),database
sqsh - sybase isql replacement.,sqsh (pronounced skwish) is short for sqshell (pronounced s-q-shell)  a replacement for the venerable 'isql' program supplied by sybase.,database
jabref,jabref is a graphical application for managing bibliographical data,database
ermaster,ermaster is eclipse plug-in to make er diagram. functionally  import from data base  making of table definition book on excel  image output  ddl output  etc. are being offered.,database
ucanaccess,a pure java jdbc driver for ms access,database
geotools, the java gis toolkit,toolkit for working with and mapping geospatial data,database
schemaspy,schemaspy analyzes database metadata to reverse engineer dynamic entity relationship (er) diagrams. it works with just about any jdbc-compliant database (oracle/mysql/db2/sql server/postgresql/sybase/etc) and can identify ruby on rails relationships.,database
phpipam,phpipam open-source ip address management,database
ta-lib : technical analysis library,technical analysis library,database
sqliteman: sqlite3 admin and devel tool,the best developer's or admin's gui tool for sqlite3 (sqlite) in the world. no joking here (or just a bit only) - it contains the most complete feature set of all tools available. visit project homepage for more info  bugtracker  documentation  etc,database
sqlmap,sqlmap is an open source penetration testing tool that automates the process of detecting and exploiting sql injection flaws and taking over of database servers.,database
adodb,php database abstraction layer,database
nhibernate,.net port of the excellent java hibernate which provides object/relational mapping to persist objects in a relational database.,database
hammerdb,hammerdb database load testing and benchmarking tool,database
c3p0:jdbc datasources/resource pools,c3p0 is an easy-to-use library for augmenting traditional (drivermanager-based) jdbc drivers with jndi-bindable datasources  including datasources that implement connection and statement pooling  as described by the jdbc3 spec and jdbc2 std extension.  note: current development snapshots are now available on github.,database
script your documentation instantly,sydi is a project aimed to help system administrators in getting started with their network documentation. it can document windows servers  ms sql servers  exchange organizations and linux systems.,database
sqlitemanager,sqlitemanager is a multilingual web based tool to manage sqlite database. the programming language used is: php4  but work fine with php5. work just as well on a platform linux as on windows or mac.,database
sqliteman: sqlite3 admin and devel tool,the best developer's or admin's gui tool for sqlite3 (sqlite) in the world. no joking here (or just a bit only) - it contains the most complete feature set of all tools available. visit project homepage for more info  bugtracker  documentation  etc,database
scid vs. pc,chess database and toolkit program,database
tora,tora is a toolkit for oracle which aims to help the dba or developer of database applications. features pl/sql debugger  sql worksheet with syntax highlighting  db browser and a full set of dba tools. tora also includes support for mysql and postgres.,database
ado.net 2.0 provider for sqlite,sqlite.org took over this project in 2010,database
xml editor/validator/designer with camv,cam xml editor for xml+json+hibernate+sql open-xdx sponsored by oracle,database
symmetricds,database replication  filtered synchronization  and transformation,database
eclipse sql explorer [rcp/plugin],eclipse sql client for database querying/browsing any jdbc compliant database. it supports plugins with specialized functionality for individual databases (oracle  db2  mysql  postgresql  sybase  informix) and can be extended.,database
compactview,viewer for microsoft® sql server® ce database files (sdf).,database
java csv library,small  fast java library for reading and writing csv files,database
anti-plagiarism (check on plagiarism),anti-plagiarism - software designed to effectively detect and thereby prevent plagiarism. it is a versatile tool to deal with world wide web copy-pasting information from the assignment of authorship.  the goal of this program is to help reduce the impact of plagiarism on education and educational institutions. at present  it distributes free software to detect plagiarism.   checking documents in a format *.rtf  *.doc  *.docx  *.pdf  check the source code c  c++  c#  java  ...,database
db designer fork,db designer fork is a fork of the fabforce dbdesigner 4. it integrates entity relationship design front-end (you can run queries) and sql exporting.db designer fork generates sql scripts for oracle  sql server  mysql  firebird  sqlite and postgresql.,database
stock inventory management,php stock inventory management system - pos,database
talend open studio for data integration,talend makes etl easy from any data source to almost any analytics or operational tools. access over 900 connectors so you can natively connect databases  flat files  cloud-based applications and data to simplify etl. graphical eclipse-based tools and wizards speed design  test creation  and generation of code in the languages you need.,database
jackcess,a pure java library for reading from and writing to ms access databases. this project is part of the openhms (http://openhms.sourceforge.net/) project from health market science.,database
chessx,chess database and pgn viewer,database
freepokerdb,a hud and stats tracker for your poker games written in python. supports holdem  omaha  stud  razz and draw games.,database
freesms (free student management system),freesms is a php based application to manage an educational facility of teachers and students alike. it is a teacher and student management system providing marketing  registration  course management  attendance and a student evaluation system.,database
er english to bengali dictionary,er dictionary ( english to bengali dictionary ) provides you digital dictionary based on english and bengali word. this is based on unicode. before using this you must install .net 2.0. a download link is given with the package.,database
z-wamp server pack,a lightweight zero-install web server package that runs on windows. the project aims to provide the latest production/stable versions of apache  mysql  php  adminer  mongodb  memcached  sqlite  eaccelerator  and alternative php cache (apc) to boost server performance.,database
mole,automatic sql injection exploitation tool,database
php mini sql admin,extremely lightweight alternative to phpmyadmin,database
sqltools for oracle,sqltools is a light weight and robust frontend for oracle database development. this program is not so comprehensive as tora or toad but it is ideal when you need basic data querying capabilities and objects browsing.  it also supports a basic subset of sql*plus commands (connect/disconnect  bind and define variables). it works with oracle 8i/9i/10g/11g databases. oracle client 32bit is required.   check http://www.sqltools.net for more information  http://www.sqltools.net/cgi-bin/yabb25/yabb.pl?board=sql_status for development progress and news.,database
blazegraph (powered by bigdata),fast  scalable  robust graph database platform,database
dbunit,dbunit is a junit extension targeted for database-driven projects that  among other things  puts your database into a known state between test runs.,database
vfront,vfront is a dynamic front-end for mysql  postgresql and sqlite databases written in php and javascript. with vfront you can create forms for manage data in ajax style  rules and privileges for differents groups  reports  statistics and much more,database
sqleo visual query builder,helping users to quickly understand sql queries,database
sqlite database browser new,sqlite database browser is a light gui editor for sqlite databases  built on top of qt. the main goal of the project is to allow non-technical users to create  modify and edit sqlite databases using a set of wizards and a spreadsheet-like interface.,database
android sqlite manager,asqlitemanager - a sqlite manager for the android platform. if the database is stored on the sdcard you can browse the data  change records and query the data. by installing ashell you can also edit system databases on rootet phones. help improving the translation here: https://crowdin.com/project/asqlitemanager,database
clucene - a c++ search engine,clucene is a c++ port of lucene: the high-performance  full-featured text search engine written in java. clucene is faster than lucene as it is written in c++.,database
dbfpy,python module for reading and writing dbf files. originally it was created by jeff kunce and later maintained by hans fiby.,database
churchinfo,free web-based church management database software,database
the lemur project,the lemur project develops search engines  browser toolbars  text analysis tools  and data resources that support research and development of information retrieval and text mining software  including the indri search engine and clueweb09 dataset.,database
sql power injector,a graphical application created in c# .net 1.1 that helps the penetration tester to inject sql commands on a web page. its main strength is its capacity to automate tedious blind sql injection with several threads. under clarified artistic license,database
gtk dbf editor,a simple editor for dbf files. the editor is built with gtk+  making it available on a number of platforms  including linux and windows.,database
phpmybackuppro,phpmybackuppro is the mysql backup tool - especially without ssh!,database
liquibase,version control for your database,database
tulip,tulip is an information visualization framework dedicated to the analysis and visualization of relational data. tulip aims to provide the developer/user with a complete library/software  supporting the design of interactive information visualization,database
mdb tools,a set of libraries and utilities for reading microsoft access database (mdb) files.,database
sidu admin gui : mysql postgresql sqlite,sidu is a free database web gui written in php. handy and powerful for mysql + postgresql + sqlite + cubrid. sidu is simple and easy db tool to use! sidu has all features you need for database admin and web development. it's a great db admin tool! no installation need. best database front-end web based tools  cross platform looking no further,database
poweradmin,poweradmin is a web-based dns administration tool for powerdns server. the interface has full support for most of the features of powerdns. it has full support for all zone types  for supermasters  full support for ipv6 and multi-language support.,database
gt.m high end tp database engine,industrial strength nosql application development platform,database
universal password manager,store all your passwords in one secure encrypted database.,database
xlslib,c++/c library to construct excel .xls files in code.,database
vvv (virtual volumes view),catalog the content of removable volumes like cd and dvd disks for off-line searching. folders and files can also be arranged in a single  virtual file system. each folder of this virtual file system can contain files from many disks.,database
openlink virtuoso (open-source edition),virtuoso is a scalable cross-platform server that combines relational  graph  and document data management with web application server and web services platform functionality.,database
soci - the c++ database access library,the database access library for c++ programmers that provides the illusion of embedding sql in regular c++ code  staying entirely within the c++ standard.,database
apache2triad,server bundle of  : apache2   mysql   postgresql   openssl   xmail   slimftpd software developing triad of : php   perl and python + apache2triadcp   phpmyadmin   phppgadmin   awstats   uebimiau   phpxmail   phpsftpd. all latest stables   all manuals,database
e-library,library management software system will be an online and mobile service to help people and public libraries to automate all activities. photonsoft ltd. plan lmss to be world's largest library network and social space with internet/wap communication tools,database
barman for postgresql,backup and recovery manager for postgresql,database
csvjdbc - csv file jdbc driver,a read-only jdbc driver for java that uses comma separated value (csv) files as database tables.  ideal for writing data import programs and conversion programs.,database
portable webserver,simple  useful & fast webserver for your portable device!,database
al-anvar: quran research software,open source freeware software for  study quran ( koran ) and research,database
pgadminportable,postgresql tools,database
spawner data generator,spawner is a generator of sample/test data for databases. it can be configured to output delimited text or sql insert statements. it can also insert directly into a mysql 5.x database. includes many field types  most of which are configurable.,database
libxls,library for parsing excel (xls) files  with a sample program for converting excel files into csv.,database
jose,jose is a graphical chess tool.  you can store chess games in a database. you can view and edit games (including variations and comments). you can play against a plugged-in chess engine and use it for analysis.  features 3d board view.,database
openrpt report writer by xtuple,graphical sql report writer  designer and rendering engine  optimized for postgresql. wysiwyg display  gui built with qt  runs on linux  windows  mac os x. reports can be saved as xml  either as files or in a database.,database
open source data quality and profiling,world's first open source data quality & data preparation project,database
little registry cleaner,little registry cleaner is an open source program designed for microsoft's windows registry. its purpose is to remove obsolete or unwanted items that build up in the registry over time in order to improve the stability & performance of your computer,database
imgseek - intelligent image database,imgseek is a photo collection manager and viewer with content-based search and many other features. the query is expressed either as a rough sketch painted by the user or as another image you supply (or an image in your collection).,database
emerge desktop,emerge is an alternate windows shell. it's purpose is to replace windows explorer as your desktop user interface  providing similar functionality  with the additional plugins to provide even more.,database
openreports,openreports is a powerful  flexible  and easy to use web reporting solution that provides browser based  parameter driven  dynamic report generation and flexible report scheduling capabilities. supports jasperreports  jfreereport  jxls  and eclipse birt,database
php timeclock,php timeclock is a simple yet effective web-based time clock system. it allows you to track all employee time as well as upcoming vacations and more  it can also replace manual sign-in sheets and such. it is written in php and utilizes a mysql database.,database
spreadsheet compare,performs a cell-by-cell comparison of excel worksheets.,database
amoeba,amoeba is a proxy that sits between your client and db server(s) that can monitor  analyze or transform their communication. written in java. 1.load balancing 2、failover; 3、queries route.projects:amoeba for mysql  for mongodb for aladdin,database
jailer,database subsetting and browsing tool,database
unixodbc,implementation of the popular odbc standard for non-windows platforms such as linux and mac os x. includes; drivermanager and several command-line tools,database
tadpole db hub,it is a tool to manage amazon rds  apache hive  apache tajo  mongodb ,database
mogwai java tools,java 2d & 3d visual entity relationship design & modeling (erd sql) for oracle mssql postgres mysql ... database change&dictionary management  swing data binding  apache fop renderer for dot matrix printers sparx enterprise architect reports + more,database
e-library using jsp and servlet,a web base electronic library that can lends books  journals  cds  videos to borrowers who are registered in the system  as are the books and magazines.  uml use during oo analysis/deisgn. j2ee (jsp  servlet and jdbc) & mysql for the implementation.,database
asset tracker,inventory/asset tracking and management web application. allows you to track any kind of asset  with a user-configurable number  type  and name of fields. it can hold multiple asset databases  and has a plugin system and simple authentication and access,database
db browser for sqlite,a light gui editor for sqlite databases,database
soprano,soprano (formerly known as qrdf) is a library which provides a highly usable object-oriented c++/qt4 framework for rdf data. it uses different rdf storage solutions as backends through a simple plugin system. soprano is targetted at desktop applications,database
ultrastar manager,with this song management application you are able to keep an eye on your ultrastar collection. quickly find songs with missing covers  backgrounds or videos.,database
