squirrel sql client,a java sql client for any jdbc compliant database,front-ends
mywebsql,mywebsql is a web based wysiwyg database client written in php. it has a simple and intuitive interface with the look and feel of a desktop application  and offers rich features for database management. no installation is needed  just download  extract and you are ready to go. it even has a single file compact version with full functionality  which you can quickly deploy on your server. currently mywebsql supports working with mysql  postgresql and sqlite databases.,front-ends
ldap admin,windows ldap editor  includes support for posix groups and accounts  samba accounts  some postfix objects and more,front-ends
vertrigoserv wamp,complete wamp server - php apache mysql for windows.,front-ends
hypersql database engine (hsqldb),hsqldb is a relational database engine written in java  with a jdbc driver  conforming to ansi sql:2011. a small  fast  multithreaded engine and server with memory and disk tables  lobs  transaction isolation  multiversion concurrency and acid.,front-ends
itop - itsm & cmdb opensource,a simple  web based it service management tool,front-ends
phppgadmin,phppgadmin is a fully functional web-based administration utility for a postgresql database server. it handles all the basic functionality as well as some advanced features such as triggers  views  and functions (stored procs),front-ends
sqsh - sybase isql replacement.,sqsh (pronounced skwish) is short for sqshell (pronounced s-q-shell)  a replacement for the venerable 'isql' program supplied by sybase.,front-ends
ucanaccess,a pure java jdbc driver for ms access,front-ends
geotools, the java gis toolkit,toolkit for working with and mapping geospatial data,front-ends
schemaspy,schemaspy analyzes database metadata to reverse engineer dynamic entity relationship (er) diagrams. it works with just about any jdbc-compliant database (oracle/mysql/db2/sql server/postgresql/sybase/etc) and can identify ruby on rails relationships.,front-ends
ermaster,ermaster is eclipse plug-in to make er diagram. functionally  import from data base  making of table definition book on excel  image output  ddl output  etc. are being offered.,front-ends
ta-lib : technical analysis library,technical analysis library,front-ends
racktables,racktables is a nifty and robust solution for datacenter and server room asset management. it helps document hardware assets  network addresses  space in racks  networks configuration and much much more!,front-ends
sqlitemanager,sqlitemanager is a multilingual web based tool to manage sqlite database. the programming language used is: php4  but work fine with php5. work just as well on a platform linux as on windows or mac.,front-ends
sqliteman: sqlite3 admin and devel tool,the best developer's or admin's gui tool for sqlite3 (sqlite) in the world. no joking here (or just a bit only) - it contains the most complete feature set of all tools available. visit project homepage for more info  bugtracker  documentation  etc,front-ends
tora,tora is a toolkit for oracle which aims to help the dba or developer of database applications. features pl/sql debugger  sql worksheet with syntax highlighting  db browser and a full set of dba tools. tora also includes support for mysql and postgres.,front-ends
eclipse sql explorer [rcp/plugin],eclipse sql client for database querying/browsing any jdbc compliant database. it supports plugins with specialized functionality for individual databases (oracle  db2  mysql  postgresql  sybase  informix) and can be extended.,front-ends
compactview,viewer for microsoft? sql server? ce database files (sdf).,front-ends
talend open studio for data integration,talend makes etl easy from any data source to almost any analytics or operational tools. access over 900 connectors so you can natively connect databases  flat files  cloud-based applications and data to simplify etl. graphical eclipse-based tools and wizards speed design  test creation  and generation of code in the languages you need.,front-ends
er english to bengali dictionary,er dictionary ( english to bengali dictionary ) provides you digital dictionary based on english and bengali word. this is based on unicode. before using this you must install .net 2.0. a download link is given with the package.,front-ends
php mini sql admin,extremely lightweight alternative to phpmyadmin,front-ends
sqltools for oracle,sqltools is a light weight and robust frontend for oracle database development. this program is not so comprehensive as tora or toad but it is ideal when you need basic data querying capabilities and objects browsing.  it also supports a basic subset of sql*plus commands (connect/disconnect  bind and define variables). it works with oracle 8i/9i/10g/11g databases. oracle client 32bit is required.   check http://www.sqltools.net for more information  http://www.sqltools.net/cgi-bin/yabb25/yabb.pl?board=sql_status for development progress and news.,front-ends
sqleo visual query builder,helping users to quickly understand sql queries,front-ends
sqlite database browser new,sqlite database browser is a light gui editor for sqlite databases  built on top of qt. the main goal of the project is to allow non-technical users to create  modify and edit sqlite databases using a set of wizards and a spreadsheet-like interface.,front-ends
android sqlite manager,asqlitemanager - a sqlite manager for the android platform. if the database is stored on the sdcard you can browse the data  change records and query the data. by installing ashell you can also edit system databases on rootet phones. help improving the translation here: https://crowdin.com/project/asqlitemanager,front-ends
churchinfo,free web-based church management database software,front-ends
vfront,vfront is a dynamic front-end for mysql  postgresql and sqlite databases written in php and javascript. with vfront you can create forms for manage data in ajax style  rules and privileges for differents groups  reports  statistics and much more,front-ends
gtk dbf editor,a simple editor for dbf files. the editor is built with gtk+  making it available on a number of platforms  including linux and windows.,front-ends
poweradmin,poweradmin is a web-based dns administration tool for powerdns server. the interface has full support for most of the features of powerdns. it has full support for all zone types  for supermasters  full support for ipv6 and multi-language support.,front-ends
sidu admin gui : mysql postgresql sqlite,sidu is a free database web gui written in php. handy and powerful for mysql + postgresql + sqlite + cubrid. sidu is simple and easy db tool to use! sidu has all features you need for database admin and web development. it's a great db admin tool! no installation need. best database front-end web based tools  cross platform looking no further,front-ends
xlslib,c++/c library to construct excel .xls files in code.,front-ends
soci - the c++ database access library,the database access library for c++ programmers that provides the illusion of embedding sql in regular c++ code  staying entirely within the c++ standard.,front-ends
pgadminportable,postgresql tools,front-ends
jose,jose is a graphical chess tool.  you can store chess games in a database. you can view and edit games (including variations and comments). you can play against a plugged-in chess engine and use it for analysis.  features 3d board view.,front-ends
openrpt report writer by xtuple,graphical sql report writer  designer and rendering engine  optimized for postgresql. wysiwyg display  gui built with qt  runs on linux  windows  mac os x. reports can be saved as xml  either as files or in a database.,front-ends
open source data quality and profiling,world's first open source data quality & data preparation project,front-ends
emerge desktop,emerge is an alternate windows shell. it's purpose is to replace windows explorer as your desktop user interface  providing similar functionality  with the additional plugins to provide even more.,front-ends
openreports,openreports is a powerful  flexible  and easy to use web reporting solution that provides browser based  parameter driven  dynamic report generation and flexible report scheduling capabilities. supports jasperreports  jfreereport  jxls  and eclipse birt,front-ends
spreadsheet compare,performs a cell-by-cell comparison of excel worksheets.,front-ends
unixodbc,implementation of the popular odbc standard for non-windows platforms such as linux and mac os x. includes; drivermanager and several command-line tools,front-ends
tadpole db hub,it is a tool to manage amazon rds  apache hive  apache tajo  mongodb ,front-ends
mogwai java tools,java 2d & 3d visual entity relationship design & modeling (erd sql) for oracle mssql postgres mysql ... database change&dictionary management  swing data binding  apache fop renderer for dot matrix printers sparx enterprise architect reports + more,front-ends
asset tracker,inventory/asset tracking and management web application. allows you to track any kind of asset  with a user-configurable number  type  and name of fields. it can hold multiple asset databases  and has a plugin system and simple authentication and access,front-ends
jailer,database subsetting and browsing tool,front-ends
ultrastar manager,with this song management application you are able to keep an eye on your ultrastar collection. quickly find songs with missing covers  backgrounds or videos.,front-ends
elibrary,books and ebooks library organizer. catalog  tag and search your books database with ease. automatically fetches the book's details and cover image from the web with a smart isbn guesser.,front-ends
druid, the database manager,druid is a gui tool for database build and management. users can add/change/delete db objects (tables  fields  etc). druid generates for you: sql scripts  docs in xhtml  pdf  docbook  etc; code in c  c++ & java beans even for jdo and support castor & ojb,front-ends
evolutility - crud framework for asp.net,crud framework with a generic web ui and integrated micro orm.,front-ends
dbedit 2,a database editor  suitable as front-end for all your relational databases. connects to oracle  db2  mysql and many other databases. used to easily query  update and administer your database  create reports and synchronize data.,front-ends
spatial viewer for oracle sql developer,the purpose of georaptor project is to extend oracle sql developer with additional functionality for database administrators or developers working with oracle spatial data.  dear users  a port to version 4.x of sql developer is being attempted. it is not simple due to the lack of development resources. please keep using georaptor with sql developer 3.x until the new version is available. thanks. simon greener,front-ends
odbc querytool,open odbc querytool. query tool that specializes in working on a 3.5x odbc database driver. totally rdbms independent as odbc should be. knows about every odbc option  function and comes with full documentation.,front-ends
orbada - database manager,database sql  query tool  using jdbc for oracle sqlite postgresql etc,front-ends
winlamp,winlamp is an installer for apache  mysql  and php. runs on windows 2000 or better. winlamp also optionally installs phpmyadmin  sqlyog  documentation help files  and an activeperl installer. mini version installs only apache & php.,front-ends
quantum database utility,quantum is a database plugin for eclipse (needs gef  point eclipse at http://quantum.sourceforge.net/update-site). it currently supports most databases with a jdbc driver. it shows tables  views  and sequences in a tree format and provides an sql editor,front-ends
mysql control center,mysql control center is an excellent gui front end for mysql database creation and administration. it allows multiple concurrent mysql server connections  mdi (or not under linux)  stored login credentials  point and click dump file imports and more.,front-ends
semantic mediawiki,lets you store and query data within the wiki's pages.,front-ends
phpmyadmin,a software tool to bring mysql to the web,front-ends
phpldapadmin,phpldapadmin is a web-based ldap administration tool for managing your ldap server. with it you can browse your ldap tree  view ldap schema  perform searches  create  delete  copy and edit ldap entries. you can even copy entries between servers.,front-ends
dmyreports - dynamic mysql reports,this is a dynamic report generator for mysql. end users will be able to select tables  fields and set conditions graphically using a web based interface to generate reports. these reports can then be saved or exported to other formats.,front-ends
4ws.platform,development platform for web and mobile applications,front-ends
cubrid,cubrid is an open source  enterprise ready relational database.,front-ends
adminer,database management in a single php file,front-ends
database independent abstraction layer,libdbi implements a database-independent abstraction layer in c  similar to the dbi/dbd layer in perl. writing one generic set of code  programmers can leverage the power of multiple dbs and multiple simultaneous db connections by using this framework.,front-ends
middlegen,middlegen is a free general-purpose database-driven code generation engine based on jdbc  velocity  ant and xdoclet. if you already have a database  you can use middlegen to generate ejb (cmp 2.0)  hibernate  jdo and jsp/struts source code.,front-ends
sqlite management studio,sqlite management studio is a sqlite gui tool for managing all of your sqlite databases. it is based on the qt framework  thus making it available for all major commercial operating systems.,front-ends
dbplot (dataplot, databaseplot, csvplot),plot your data in seconds (mssql  mysql  postgresql  sqlite  csv),front-ends
query explus,database query tool - ms query analyzer look-alike. original version from query express - www.albahari.com/queryexpress.html,front-ends
gamebase - universal emulator frontend,gamebase is a fully-featured retro-gaming emulator frontend and game database utility. it supports virtually any emulator for any system and has versatile database searching and filtering. it is the official frontend for the gb64 collection of c64 games.,front-ends
refbase - web reference database,online bibliographic manager for research groups. zotero-compatible.,front-ends
excel ldap search,excel ldap search (els) is an excel add-in that allows ldap searches to be made from within microsoft excel. els can add ldap data to existing data in an excel document on a row-by-row basis  or populate a blank sheet based on a custom query,front-ends
php report generator,php report generator generates pdf-files from an result set of an sql statement. the description of the report is stored in a sql table. the project consists of the printing machine and an html front end  to create a report definition.,front-ends
bb's database desktop,bb's database desktop replaces and extends borlands database desktop  which is not free. the goal of this project is to implement the functions of the original database desktop and add some useful features,front-ends
int64.org,the stuff here has no documentation and some of it may never be completed. this is my playground  use at your own risk.,front-ends
open enventory,web-based electronic laboratory notebook (eln) with integrated chemical inventory by the group of prof. goossen (tu kaiserslautern  germany)  based on php/mysql. allows (sub-)structure search  reaction planning  management of spectra and literature.,front-ends
